vehicle_id,source_lat,source_lng,target_lat,target_lng
4,30.43791553,-9.55472406,30.43772738,-9.55447378
4,30.43772738,-9.55447378,30.43752568,-9.5556313
4,30.43752568,-9.5556313,30.43743345,-9.55565552
4,30.43743345,-9.55565552,30.43746372,-9.55666185
4,30.43746372,-9.55666185,30.43759504,-9.55657201
4,30.43759504,-9.55657201,30.43689855,-9.55726355
4,30.43689855,-9.55726355,30.43796777,-9.55995935
4,30.43796777,-9.55995935,30.43798424,-9.56091796
4,30.43798424,-9.56091796,30.43909013,-9.56024171
4,30.43909013,-9.56024171,30.43925447,-9.56029696
4,30.43925447,-9.56029696,30.44046843,-9.55930152
4,30.44046843,-9.55930152,30.44081524,-9.55930493
4,30.44081524,-9.55930493,30.43977467,-9.56217898
4,30.43977467,-9.56217898,30.43762837,-9.56377549
4,30.43762837,-9.56377549,30.43792721,-9.56405099
4,30.43792721,-9.56405099,30.43712387,-9.56416346
